sonaID,EnglishDominant,EnglishNative,languagelist,AofExposure,Gender,Age,SLH
27325,Yes,Yes,"English, Philippine Hokkien, French, Mandarin","0, 0, 5, 5",Female,20,No
34927,Yes,Yes,"English, Mandarin, Japanese, French","0, 0, 16, 10",male,19,No
34930,Yes,Yes,"English, Mandarin, Cantonese, French","2, 0, 0, 0",Female,19,No
34945,No,No,"English, Portuguese, Spanish, Japanese","3, 0, 3, 16",Male,21,No
34954,Yes,Yes,"English, Russian, French","0, 0, 4",Male,18,No
34933,Yes,Yes,"English, French","0, 15",Female,19,No
31369,Yes,Yes,"Korean, English, French","23, 0, 26",Female,26,No
34957,Yes,No,"English, Hindi","2, 0",female,18,No
34939,Yes,No,"English, Cantonese, Mandarin, American Sign Language","0, 0, 6, 16",Male,22,No
32437,Yes,Yes,"English, Spanish","0, 12",Woman,19,No
34936,Yes,Yes,"English, Mandarin, Spanish, French","0, 11, 6, 17",Female,19,No
34960,Yes,Yes,"English, Punjabi, French","0, 0, 10",female,21,No
32677,Yes,Yes,"French, Danish, Spanish, Korean, English","9, 15, 15, 19, 0",Male (transgender),19,No
34963,Yes,Yes,"English, Hebrew, French, Yiddish, Italian","0, 3, 8, 0, 0",Male,19,No
34183,Yes,No,"Mandarin, English","0, 3",Female,26,No
32647,Yes,Yes,"English, Spanish, Chinese","0, 12, 0",Female,19,No
32782,Yes,Yes,"English, Portuguese, French","0, 0, 0",Female,18,No
34966,Yes,Yes,"English, French, Cantonese","0, 0, 0",Male,18,No
34972,Yes,Yes,"English, Mandarin, French, Cantonese","0, 0, 0, 0",Male,19,No
34975,No,No,"English, French","0, 8",female,20,No
34969,Yes,Yes,"Canadian English, Canadian French","0, 0",female,17,No
34978,Yes,Yes,"English, Punjabi, Hindi, French","5, 0, 10, 15",female,20,No
34984,No,No,"Tagalog, English, Mandarin","0, 0, 4",Female,19,No
34852,Yes,No,"English, Spanish, French, Italian","5, 0, 10, 18",Woman,19,No
34987,Yes,Yes,"English, French","0, 10",Female,23,No
32623,Yes,Yes,"English, Cantonese, Mandarin","0, 0, 10",Male,19,No
31417,Yes,Yes,"english, cantonese","0, 0",female,19,No
34834,Yes,Yes,"English, French, Japanese, Tagalog","0, 10, 17",female,18,No
29014,Yes,Yes,"English, Mandarin, French, Korean","4, 0, 10, 18",Female,20,No
34999,Yes,Yes,"Mandarin, French, Japanese, English","0, 12, 14, 0",Female,19,No
35002,No,No,"English, Portuguese, Spanish, Korean","4, 0, 0, 14",Female,18,No
35008,Yes,Yes,"English, Hindi","0, 0",Male,19,No
31795,Yes,Yes,"English, Cantonese, French, Mandarin, Korean, German, Spanish, Italian","0, 0, 7, 5, 16, 18, 15, 13",Female,18,No
35014,Yes,Yes,"English, Cantonese, Mandarin, Spanish","0, 5, 6, 15",Female,22,No
32980,Yes,Yes,"Hindi, Gujarati, Marathi, Spanish, Sanskrit","0, 0, 0, 0, 0",Female,19,No
33940,Yes,Yes,"English, Korean, Mandarin","2, 1, 13",female,18,No
31876,No,No,"Levantian Arabic, English, Western Armenian, French, Spanish, German, Japanese","0, 3, 0, 0, 0, 0, 0",Male,20,No
34948,Yes,Yes,"English, Spanish, French","3, 0, 0",Woman,19,No
35017,Yes,No,"French, Mauritian Creole, English, Spanish, Hindi","0, 0, 7, 14, 5",Female,18,No
20839,Yes,Yes,"English, Mandarin, French, Spanish","4, 0, 11, 20",F,22,No
30880,Yes,Yes,"English, French, ASL","0, 5, 14",Female,20,No
32380,Yes,Yes,"English, Korean, Spanish, french","3, 0, 12, 7",female,19,No
35023,Yes,Yes,"Cantonese, English, Mandarin, Japanese, Korean","0, 3, 0, 7, 18",Female,19,No
34864,Yes,Yes,"English, French, German","0, 12, 16",female,17,No
35029,Yes,Yes,"English, French, Norwegian","0, 9, 17",Female,21,No
35020,No,No,"english, hindi, german","0, 0, 9",female,19,No
35032,Yes,Yes,"English, French, Mandarin","0, 0, 18",Male,20,No
22909,Yes,Yes,"Korean, English, French, Japanese","0, 6, 8, 0",female/non-binary,23,No
35035,Yes,Yes,"English, Spanish","0, 14",female,18,No
35026,Yes,No,"Chinese(Mandarin), English","0, 10",Female,19,No
35044,Yes,Yes,"English, French","0, 10",Female,18,No
35041,No,No,"Vietnamese, English, Japanese, French","0, 6, 12, 17",female,18,No
35038,Yes,Yes,"English, Cantonese, Spanish, Mandarin","0, 0, 0, 0",Female,18,No
34876,Yes,Yes,"Hindi, ENglish, Spanish","0, 0, 0",Female,18,No
35050,No,No,"Mandarin, English, French","0, 7, 18",female,18,No
35056,Yes,Yes,"English, Mandarin, Spanish, French, Korean","0, 0, 7, 7, 14",Female,17,No
30481,Yes,Yes,"English, French, Hebrew, Spanish","0, 10, 0, 18",Female,20,No
34942,No,No,"Spanish, English","0, 5",Female,20,No
35005,No,No,"Mandarin, English","0, 6",Male,21,No
32875,Yes,No,"English, Cantonese, Chinese, Spanish, French, Korean","0, 0, 6, 18, 15, 14",female,19,No
34885,Yes,No,"English, French, Spanish","0, 0, 0",female,18,No
33139,Yes,No,"English, Mandarin Chinese, French","5, 0, 10",Female,19,No
35074,Yes,Yes,"English, Cantonese, French, Mandarin","0, 0, 11, 10",Female,18,No
35053,Yes,Yes,"english, mandarin, french","0, 3, 11",female,18,No
35083,No,No,"Korean, English, Japanese","0, 10, 14",woman,19,No
35086,No,No,"Persian, English, Arabic, French","0, 7, 11, 25",Male,26,No
34849,Yes,Yes,"Farsi, English, Turkish, Spanish","0, 0, 0, 14",Female,20,No
29782,Yes,Yes,"English, Mandarin, Spanish, Korean, Indonesian","0, 0, 14, 14, 12",Female,20,No
35092,Yes,Yes,"English, Korean, Spanish","3, 0, 13",Female,18,No
35098,Yes,Yes,"English, Latin American Spanish, Brazilian Portuguese, Italian, Canadian French, German","0, 14, 15, 20, 4, 20",man; male,27,No
33220,Yes,Yes,"English, Cantonese, French","0, 0, 7",Female,18,No
34414,No,No,"Jin Chinese, Mandarin, English, Japanese","0, 0, 3, 16",Male,22,No
35080,No,No,"English, Vietnamese","7, 0",Male,19,No
26884,Yes,Yes,"English, Spanish","0, 7",Female,20,No
35110,Yes,Yes,"English, Japanese, French, German, Portuguese, Spanish","0, 0, 0, 17, 16, 17",cisgender male (he/him),19,No
35116,Yes,Yes,"English, Tamil, Hindi, French","0, 0, 5, 15",Male,18,No
35122,Yes,Yes,English,0,Male,21,No
35125,Yes,Yes,"English, Bisaya, French, Korean","0, 0, 8, 0",non-binary,22,No
35119,Yes,Yes,"English, Spanish, Portuguese, French","0, 0, 10, 5",Female,18,No
35128,No,No,"Mandarin, English, French","0, 12, 17",Male,19,No
35104,Yes,Yes,"English, Hindi, Konkani, French, Swahili","3, 5, 3, 8, 6",Female,19,No
24997,Yes,Yes,"English, Korean, French","5, 0, 9",Woman,21,No
35131,Yes,Yes,"English, Mandarin, French, Telugu, Hindi","0, 19, 6, 0, 0",Male,19,No
35134,Yes,NA,"English, Mandarin, French","0, 0, 8",NA,20,No
35137,No,Yes,"Cantonese, Japanese, English, French, Mandarin","0, 15, 4, 11, 6",Male,18,No
27043,Yes,No,"English, Hindi, Punjabi, German","3, 0, 0, 11",Woman,21,No
35143,Yes,Yes,"English, Mandarin","0, 0",Male,21,No
35095,Yes,Yes,"English, Mandarin, French","2, 0, 6",Female,18,No
35146,Yes,Yes,"English, Mandarin, French, Cantonese, Taiwanese","0, 3, 12, 8, 0",Female,19,No
35113,Yes,Yes,"English, French, Spanish","0, 11, 14",woman,18,No
35149,No,Yes,"english, vietnamese, french","4, 0, 3",Female,18,No
35152,Yes,Yes,"English, French, American Sign Language","0, 10, 13",Female,18,No
35161,Yes,NA,"Mandarin, English","0, 5",Female,19,No
31732,No,No,"Mandarin, English, Japanese","2, 6, 18",Male,19,No
34207,Yes,Yes,"English, Cantonese, Mandarin, French","0, 0, 10, 12",Male,19,No
35158,Yes,Yes,English,0,Female,19,No
27502,Yes,Yes,"English, French, Spanish","0, 5, 17",woman,21,No
34315,No,No,"Polish, English, German","0, 10, 8",female,43,No
35179,Yes,Yes,"Mandarin, German, English, Hokkien, Malay","5, 13, 0, 5, 5",Female,18,No
35182,Yes,Yes,"English, Portuguese","5, 0",Male,20,No
31594,Yes,Yes,"English, Japanese, French, ASL","0, 0, 12, 17",Female,18,No
32818,Yes,No,"French, English, Italian, Spanish","0, 0, 16, 7",Women/non-binary,18,No
35185,Yes,Yes,"English, Tagalog","0, 0",female,19,No
35191,Yes,Yes,"English, Mandarin","6, 0",Male,21,No
35194,Yes,Yes,"English, French, German","0, 8, 19",Female,34,No
35197,No,No,"Chinese, English, French","0, 6, 12",Non binary,25,No
31252,Yes,Yes,"English, French","0, 13",female,22,No
35200,Yes,Yes,"English, French, Mandarin","0, 6, 15",Woman,18,No
11458,Yes,Yes,"English, Cantonese, French, American Sign Language","0, 0, 10, 22",Woman,24,No
35203,Yes,Yes,"English, Cantonese, Spanish","0, 0, ~16",Male,17,No
34918,No,No,"Mandarin, English","0, 8",Male,19,No
32524,Yes,Yes,"English, French, Spanish, Latin, Yiddish","0, 5, 16, 19, 19",Female,19,No
35164,Yes,Yes,"English, Farsi","0, 0",NA,NA,No
31384,Yes,Yes,"Cantonese, English, Mandarin, Spanish, German, Russian","0, 0, 0, 9, 9, 13",Female,21,No
35209,Yes,Yes,"English, Mandarin","0, 0",female,19,No
20647,Yes,Yes,"English, Japanese, Mandarin, French","0, 0, 21, 10",Non-binary,25,No
35206,Yes,Yes,"English, Mandarin, French","3, 0, 11",Female,19,No
35212,Yes,Yes,"English, Cantonese, Mandarin, French, Japanese","0, 0, 0, 7, 11",Female,18,No
34822,Yes,Yes,"English (natively), Korean (natively), French (educational), Japanese (self-study)","0, 0, 9, 17",Male,19,No
35218,Yes,Yes,"english, french, mandarin","0, 11, 18",male,19,No
32425,Yes,No,"Mandarin, English, Japanese, French","0, 4, 16, 19",female,19,No
35221,Yes,Yes,"English, German, Punjabi, French, Hindi","12, 0, 0, 0, 8",Female,17,No
34216,Yes,Yes,"English, Mandarin, Japanese, French","0, 0, 18, 13",he/him/his,20,No
35224,Yes,Yes,"English, French, Punjabi","2, 7, 2",Female,18,No
35227,Yes,Yes,"English (self-study + educational), Korean (self-study + educational), French (educational), Japanese (self-study + educational), Tagalog (self-study), Chinese (educational)","0, 0, 10, 0, 5, 9",female,17,No
35062,Yes,Yes,"English, Punjabi, Hindi, French","0, 0, 10, 12",Female,20,No
34888,Yes,No,"English, Hindi, Arabic, Spanish, French","2, 0, 6, 17, 11",Male,18,No
31030,Yes,Yes,English,0,female,21,No
35242,Yes,Yes,"English, Spanish, Japanese","0, 14, 16",Male,18,No
35248,Yes,No,"Cantonese, Mandarin Chinese, English, Japanese","0, 3, 3, 16",Male,19,No
35266,Yes,Yes,French,5,female,23,No
34612,No,No,"Mandarin, English, Cantonese","0, 13, 18",Female,19,No
35272,Yes,Yes,"English, Mandarin, Spanish, Cantonese","3, 0, 11, 0",Male,17,No
35257,Yes,Yes,"English, Bahasa Indonesia, Norwegian, French, Arabic, Teochew","0, 0, 4, 6, 6, 0",Female,19,No
35230,Yes,Yes,"Korean, Spanish, French","0, 0, 10",Female,17,No
35302,Yes,Yes,"English, French, Latin, ASL","0, 9, 19, 16",female,20,No
35188,No,No,"Mandarin, English, Spanish","0, 6, 18",female,18,No
35287,No,No,"Central Mandarin Chinese, Wu Chinese, English, Japanese, Toki Pona","0, 0, 3, 11, 16",non-binary (neutrois),17,No
35305,Yes,Yes,"English, Korean, French","3, 0, 10",Female,19,No
35308,Yes,No,"English, Amharic","3, 0",Woman,18,No
35290,Yes,Yes,"English, French","0, 6",male,20,No
35314,No,No,"Amharic, English, Tigrigna","0, 2, 6",Female,19,No
35317,No,Yes,"english, greek, romanian, spanish, french","0, 0, 0, 13, 19",female,19,No
35239,Yes,Yes,"English, French","0, 1",Female,17,No
35320,Yes,Yes,English,0,Female,18,No
23470,No,No,"English, Turkish, Armenian, Spanish, German","0, 0, 0, 22, 13",Male,22,No
31774,Yes,Yes,"English, Greek, Spanish","0, 0, 6",Female,19,No
31915,Yes,Yes,"English, Mandarin, Cantonese","3, 4, 0",female,19,No
35323,Yes,Yes,"English, French","0, 13",male,17,No
31582,No,No,"italian, English","0, 0",female,20,No
32869,No,No,"Cantonese, Mandarin, English, Korean","0, 1, 1, 12",female,19,No
35011,Yes,Yes,"mandarin, french","14, 13",woman,18,No
35326,Yes,Yes,"English, Tagalog, Mandarin Chinese, Filipino, French","0, 0, 7, 0, 5",Female,18,No
35335,Yes,Yes,"English, Cantonese, French, Spanish","0, 3, 3, 15",Female,19,No
35341,Yes,Yes,"English, Afrikaans, French","0, 0, 14",female,19,No
35338,Yes,Yes,"english, spanish, korean","0, 0, 0",male,19,No
35251,Yes,No,"English, Manderin","0, 5",Female,19,No
35347,Yes,Yes,"Spanish, Irish Gaelic (Ulster variant), French, English","15, 0, 12, 0",NB,19,No
35353,Yes,Yes,"English, Spanish","0, 13",Woman,19,No
35350,Yes,Yes,"English, Mandarin, Cantonese, French, Spanish","0, 6, 0, 5, 14",Female,17,No
34432,Yes,Yes,"English, Spanish","0, 12",female,23,No
19558,Yes,Yes,"English, French, Cantonese","0, 11, 0",Female,23,No
31273,Yes,Yes,"English, Japanese, French, Spanish, Mandarin","0, 0, 9, 17, 1",female,20,No
35356,Yes,Yes,"English, French","0, 6",woman,18,No
35371,Yes,No,"Cantonese, English, Mandarin, French","0, 4, 6, 10",Woman,19,No
25159,Yes,Yes,"English, High German, Russian, French, Japanese, Mandarin","6, 0, 0, 9, 18, 20",Fluid,21,No
28393,Yes,Yes,"English, French, German","0, 5, 18",female,20,No
35374,Yes,Yes,"English, French","0, 13",Male,18,No
34393,Yes,Yes,"Punjabi, Spanish, Hindi, Urdu, French","0, 13, 8, 12, 9",Female,18,No
35377,Yes,Yes,"English, Cantonese, Mandarin","0, 0, 0",Male,18,No
26896,Yes,Yes,"English, Tagalog, Spanish, French, Japanese, Punjabi","0, 0, 2, 10, 6, 6",Female,22,No
27964,Yes,Yes,"English, Mandarin, Malay, French","0, 0, 20, 13",Female,21,No
33973,Yes,Yes,"English, Cantonese, Mandarin, Japanese","0, 0, 5, 16",Female,20,No
35383,Yes,Yes,"English, Tagalog, French, Spanish","0, 0, 6, 18",female,20,No
35386,Yes,Yes,"English, Cantonese, Mandarin, French","0, 0, 5, 10",Male,18,No
31258,Yes,Yes,"English, Cantonese, French, Japanese","0, 0, 10, 7",Female,22,No
33301,Yes,Yes,"English, Mandarin, Cantonese, Japanese, French","0, 3, 0, 7, 10",Female,21,No
35392,Yes,Yes,"English, Greek","0, 0",Female,20,No
35395,No,No,"Japanese, English, Spanish","0, 2, 18",Female,21,No
32413,Yes,Yes,"English, Mandarin, French, Cantonese, Spanish, Japanese, Korean","0, 3, 15, 17, 10, 10, 17",Female,18,No
35155,Yes,Yes,"French, Mandarin, English","12, 18, 0",Male,18,No
35398,Yes,Yes,"English, Patois","0, 0",Female,17,No
29083,Yes,No,"Cantonese, English, Mandarin, Japanese, Korean","0, 0, 0, 0, 0",female,21,No
34981,Yes,Yes,"English, French","0, 0",male,27,No
34177,No,No,"Korean (South), English, Japanese, French, Spanish, Latin","0, 8, 13, 19, 19, 19",Male,21,No
34666,Yes,Yes,"Gujarati, English, Hindi, Arabic","0, 1, 1, 10",FEMALE,19,No
27808,Yes,Yes,"English, Visaya, Tagalog, French","0, 0, 0, 9",Female,20,No
35404,Yes,No,"English, Cantonese, Mandarin, French","3, 0, 5, 14",Female,18,No
35407,Yes,Yes,"English, Vietnamese, French","0, 0, 13",Female,18,No
35413,Yes,Yes,"English, Japanese, Chinese","0, 10, 12",Female,20,No
35416,Yes,Yes,"English, French","0, 10",Male,19,No
35311,Yes,Yes,"English, Spanish, French","0, 0, 5",female,18,No
31576,Yes,Yes,"English, French, Mandarin, Cantonese","0, 4, 15, 0",Female,19,No
28657,Yes,Yes,"English, French","0, 11",female,20,No
31414,Yes,Yes,"Japanese, Cantonese, English, French","0, 0, 0, 10",Female,19,No
35419,No,No,"Mandarin, Canadian English, French","1, 3, 11","Woman, Straight",18,No
31759,Yes,Yes,"English, French, Spanish, ASL","0, 4, 14, 22",Female,26,No
35425,Yes,Yes,"Englsih, Mandarin","0, 0",Male,22,No
27430,Yes,Yes,"English, French, Mandarin, Japanese, Spanish, Cantonese, Hakka, Hokkien","0, 0, 0, 0, 0, 0, 0, 0",Female,21,No
35431,Yes,Yes,"English, Korean, French","0, 0, 9",Female,18,No
35440,Yes,Yes,"English, Mandarin, French","0, 0, 9",Female,20,No
35443,Yes,Yes,"English, Spanish","0, 15",Female (she/her),17,No
35446,Yes,No,"English, Gujarati, Hindi, Urdu, Punjabi, French, Spanish, Korean, Sanskrit","0, 0, 0, 0, 0, 11, 11, 15, 0",Female,20,No
31456,Yes,Yes,"English, Urdu, Arabic, French","0, 0, 4, 6",Male,19,No
35449,Yes,Yes,"English, French, Spanish, Hebrew","0, 11, 14, 9",female,18,No
31687,Yes,Yes,"Albanian, English","0, 0",Female,19,No
35452,Yes,Yes,"English, Punjabi, French","0, 0, 4",Woman,17,No
35455,Yes,Yes,"English, French","0, 12",Male,20,No
25411,Yes,Yes,"English, Spanish, Japanese","0, 5, 0",Cis female,21,No
29914,Yes,Yes,"French, Spanish, Mandarin, Ancient Greek, Japanese, German, English","0, 15, 19, 18, 14, 9, 0",Female,19,No
31612,Yes,Yes,"English, Spanish, French","0, 15, 10",female,23,No
31654,Yes,No,"English, Cantonese, Mandarin, Japanese, Taiwanese","4, 0, 0, 8, 0",female,18,No
31930,Yes,Yes,"English, French, Spanish, Korean, German, Mandarin, Punjabi","0, 0, 0, 0, 0, 0, 0",Female,20,No
31567,Yes,Yes,"Russian, French, English, Ukrainian","0, 10, 5, 0",female she/her,18,No
35464,Yes,No,"English, Indonesian, Javanese, Japanese, Chinese","4, 0, 4, 14, 7",Male,19,No
35461,Yes,Yes,"English, Bangla, French, German","0, 0, 11, 18",Non Binary,19,No
23338,Yes,Yes,"English, Spanish, French","0, 17, 5",Female,20,No
35296,Yes,Yes,"English, South Korean","0, 0",Female,17,No
35470,No,No,"English, Mandarin, French, Korean","0, 0, 9, 17",Female,18,No
35467,No,No,"Cantonese (natively), Mandarin (self-study), English (educational)","0, 0, 0",female,21,No
35473,No,No,"Urdu, English, Hindko, Pashto","0, 0, 0, 0",Female,19,No
35476,Yes,Yes,"English, Punjabi, French","0, 0, 0",female,19,No
35479,Yes,Yes,English,0,Female,20,No
35482,Yes,Yes,"English, French, Cantonese","0, 10, 0",Male,21,No
35485,Yes,Yes,"English, Cantonese, Mandarin","0, 0, 0",Female,19,No
35494,Yes,Yes,"English, Mandarin, French, Korean","0, 0, 8, 16",Male,18,No
35359,Yes,Yes,"English, French, Mandarin - simplified","0, 6, 14",Male,17,No
35497,Yes,Yes,"English, French","0, 0",Woman,18,No
28582,Yes,Yes,"English, Korean","2, 0",female,19,No
33769,Yes,Yes,"English, filipino, Hokkien dialect, French, Mandarin","0, 0, 0, 13, 14",female,19,No
35506,Yes,No,"Taiwanese Mandarin, Hakka, Taiwanese Hokkien, Cantonese, Southwestern Mandarin, English, French, Tibetan","0, 0, 0, 3, 5, 5, 17, 18",Female,20,No
35509,Yes,Yes,"English, Mandarin, French, Korean","0, 0, 3, 20",Female,21,No
33343,Yes,Yes,"Cantonese, English, Mandarin, French, Hakka","0, 3, 3, 9, 0",NA,19,No
35515,Yes,Yes,"English, Tagalog, French","0, 0, 0",Male,17,No
35512,No,No,"Mandarin, English","0, 0",female,18,No
24244,Yes,Yes,"English, Cantonese, mandarin","0, 0, 10",female,21,No
35518,Yes,Yes,"Cantonese, Canadian French, Japanese, Canadian English","0, 5, 21, 0",Male,22,No
35521,Yes,Yes,"English, Mandarin, French, Spanish, Taiwanese","0, 0, 10, 16, 0",Female,19,No
34291,Yes,Yes,"Cantonese, Mandarin, English","0, 7, 0",female,19,No
35527,Yes,No,"Marathi, English, Japanese, French","0, 5, 16, 14",Male,18,No
26053,Yes,No,"Mandarin, English","0, 4",FEMALE,21,No
35503,Yes,Yes,"English, Cantonese, Mandarin, Japanese, Spanish, French","0, 0, 10, 14, 17, 9",Girl,18,No
35533,Yes,Yes,"Malay, Mandarin, English, Japanese, French","6, 0, 0, 14, 13",female,17,No
32386,Yes,Yes,English,0,Female,24,No
33346,Yes,Yes,"English, Cantonese, Mandarin, French","0, 0, 5, 10",Female,19,No
35539,Yes,Yes,"English, Punjabi, Hindi, Urdu","0, 0, 12, 12",Female,17,No
35542,Yes,Yes,"English, Serbo-Croatian, French, German","3, 0, 10, 17",Male,18,No
35245,Yes,Yes,"English, Vietnamese, French","0, 0, 10",Female,17,No
35545,Yes,Yes,"English, Mandarin, French, Spanish","0, 0, 12, 18",Male,18,No
24952,Yes,Yes,"English, Cantonese, French","0, 0, 8",Female,21,No
35551,Yes,Yes,"Spanish, French, Portuguese, Korean, English","0, 10, 19, 20, 0",Male,26,No
31048,Yes,Yes,"english, spanish, hindi, arabic, urdu","0, 0, 0, 0, 0",female,23,No
35260,Yes,Yes,"Dari, English, French, Hindi","0, 4, 11, 9",woman,18,No
35554,Yes,Yes,"English, French, Scottish Gaelic","0, 11, 15",Male,22,No
35380,Yes,Yes,"English, Punjabi, Hindi, French, Norwegian","0, 0, 0, 11, 17",Female,18,No
35557,Yes,No,"English, Hindi, French","0, 0, 0",Male,19,No
35560,Yes,No,"Canadian English, Caribbean Spanish, French, American English","11, 0, 13, 5",female,22,No
35530,Yes,Yes,"English, Cantonese, Mandarin, Japanese, French","0, 0, 5, 16, 10",male/hetero,20,No
35563,Yes,Yes,"English, Tagalog, Canadian French","0, 0, 8",female,19,No
35566,Yes,Yes,"English, ASL, German, French, Spanish, Japanese","0, 9, 16, 6, 15, 18",female,18,No
35569,No,NA,"Cantonese, Mandarin, English, French","0, 0, 0, 0",female,19,No
35491,Yes,Yes,"English, French, Spanish","0, 5, 20",Female,22,No
35572,Yes,Yes,"Urdu, English","0, 5",Male,17,No
30193,Yes,Yes,"English, Mandarin, French","0, 0, 10",Female,20,No
27019,Yes,No,"English, Cantonese, Mandarin","5, 0, 8",Female,20,No
35578,Yes,Yes,"English (native), Cantonese (native), Mandarin (Chinese school), Japanese (first year beginner class)","5, 0, 5, 18",female,19,No
35581,Yes,Yes,Canadian English,0,Male,20,No
31828,Yes,Yes,"English, French","0, 13",Female,22,No
27061,Yes,No,"English, Marathi, Hindi, Mandarin","3, 0, 0, 3",Female,19,No
35068,Yes,Yes,"English, Vietnamese, Hokkien, French, Bulgarian, Mandarin","0, 0, 0, 12, 17, 9",Nonbinary,18,No
35584,No,No,"English, Cantonese","0, 0",Male,18,No
35107,Yes,Yes,"English, Japanese, Spanish, French","0, 0, 0, 0",male,18,No
29104,Yes,Yes,"English, Mandarin, French, Japanese, Taiwanese","0, 0, 10, 17, 0",Female,19,No
35278,Yes,Yes,"English, Hindi, Spanish, Mandarin, Cantonese","2, 0, 12, 2, 2",Female,18,No
31357,Yes,Yes,"Mandarin, Latin, Greek, Spanish, French, Korean","0, 11, 13, 14, 7, 19",Female,20,No
35587,Yes,Yes,"English, Spanish, Hindi","0, 14, 16",Woman/Female,18,No
31063,Yes,Yes,"English, Punjabi, Hindi, French","0, 0, 0, 11",Woman,20,No
35590,No,No,"French, Moroccan Arabic (darija), Classical Arabic, Spanish (Spain), English","0, 0, 5, 3, 8",Male,18,No
31870,Yes,Yes,"English, Punjabi, Hindi, French, Urdu","5, 0, 5, 10, 12",female,19,No
35173,Yes,Yes,"English, Punjabi, French","0, 2, 9",Male,19,No
35596,Yes,No,"Canadian English, Cantonese, French","3, 0, 10",Women,20,No
30838,No,No,"Mandarin, English, Japanese, Spanish","0, 5, 18, 19",female,20,No
35599,Yes,Yes,"English, French","0, 13",Female,20,No
31516,No,Yes,"Farsi (Persian), English (Canadian), French","0, 0, 0",female,23,No
33238,No,Yes,english,0,female,19,No
31579,Yes,Yes,"English, Japanese, Cantonese","0, 0, 20",Female,21,No
35605,Yes,Yes,"English, French, Spanish","0, 5, 19",Female,26,No
27778,Yes,Yes,"English, French, German","0, 8, 18",Woman,20,No
28342,Yes,Yes,"English, Mandarin, Cantonese, French, Norwegian, Japanese, Swedish","0, 2, 7, 9, 17, 15, 19",female,20,No
35611,Yes,Yes,"Mandarin, Shanghai Wu, French","0, 0, 0",Female,19,No
33676,No,No,"Brazilian Portuguese, English, Spanish","0, 7, 18",Woman,20,No
35614,Yes,Yes,"Hebrew, French, English","0, 12, 0",Male,18,No
